symbol,entry_date,entry_price,prediction,actual_return,target_hit,cumulative_return
NSE:GRSE-EQ,2025-01-13,1371.4,0.64,0.2467186816392007,1.0,0.24671868163920063
NSE:INDIGO-EQ,2025-01-13,4001.4,0.66,0.1288424051581945,1.0,0.40734891513724847
NSE:BAJAJFINSV-EQ,2025-01-13,1674.15,0.61,0.1086222859361466,0.0,0.5602183714092124
NSE:HDFCSILVER-EQ,2025-01-13,87.36,0.74,0.0720009157509158,1.0,0.6725555229220781
NSE:SILVERADD-EQ,2025-01-14,86.68,0.67,0.0904476234425471,1.0,0.8238341950460866
NSE:LTF-EQ,2025-01-14,133.73,0.63,0.1582292679279144,1.0,1.112418144550126
NSE:SBICARD-EQ,2025-01-14,734.7,0.67,0.1521709541309377,1.0,1.433866829129824
NSE:SILVERBEES-EQ,2025-01-14,86.27,0.71,0.0799814535759824,1.0,1.6285310359339946
NSE:INDIGO-EQ,2025-01-14,3995.0,0.63,0.130650813516896,1.0,1.9719507541331804
NSE:HDFCSILVER-EQ,2025-01-14,86.38,0.65,0.0841630006946053,1.0,2.222079047517624
NSE:BHARTIARTL-EQ,2025-01-15,1607.45,0.62,0.0622725434694702,1.0,2.4227261050662343
NSE:SDBL-EQ,2025-01-15,107.46,0.67,0.0748185371300949,0.0,2.6788094652442775
NSE:DEEPAKFERT-EQ,2025-01-15,1139.7,0.62,0.1538124067737123,0.0,3.2446560031554137
NSE:BAJAJFINSV-EQ,2025-01-15,1671.65,0.61,0.1102802620165703,0.0,3.712757779353601
NSE:HDFCSILVER-EQ,2025-01-15,87.44,0.62,0.0710201280878317,1.0,4.047458440490219
NSE:BDL-EQ,2025-01-15,1134.0,0.64,0.1867724867724867,1.0,4.990184805301355
NSE:SILVERBEES-EQ,2025-01-15,87.32,0.69,0.0669949610627577,1.0,5.391497003091241
NSE:NH-EQ,2025-01-16,1310.15,0.61,0.0819371827653321,0.0,5.915198261177601
NSE:SPIC-EQ,2025-01-16,73.48,0.61,0.1235710397387043,1.0,6.769716500310596
NSE:SDBL-EQ,2025-01-17,108.32,0.74,0.0662850812407681,0.0,7.28473278975142
NSE:DEEPAKFERT-EQ,2025-01-17,1206.75,0.65,0.0897037497410399,0.0,8.027904386594669
NSE:SILVERBEES-EQ,2025-01-20,87.73,0.68,0.081158098711957,1.0,8.76059194196403
NSE:HDFCSILVER-EQ,2025-01-20,87.99,0.75,0.0768269121491079,1.0,9.51046808161259
NSE:HEROMOTOCO-EQ,2025-01-20,4092.1,0.61,0.1052882383128466,0.0,10.617096749768985
NSE:SILVERADD-EQ,2025-01-21,88.17,0.63,0.085289781104684,1.0,11.607916388628718
NSE:SILVERADD-EQ,2025-01-22,88.92,0.66,0.0761358524516418,1.0,12.56783085051599
NSE:SILVERBEES-EQ,2025-01-22,88.61,0.63,0.0704209457171876,1.0,13.52329033034016
NSE:BAJAJFINSV-EQ,2025-01-22,1743.3,0.63,0.0978030172661045,0.0,14.943711945279066
NSE:TVSMOTOR-EQ,2025-01-22,2273.25,0.61,0.1965247992961618,1.0,18.077046735360852
NSE:HDFCGOLD-EQ,2025-01-23,69.46,0.63,0.1056723293982148,1.0,20.09296270192504
NSE:HEROMOTOCO-EQ,2025-01-23,4100.35,0.61,0.1030643725535623,0.0,22.266895668094634
NSE:HDFCSILVER-EQ,2025-01-23,87.98,0.64,0.0780859286201408,1.0,24.083712822445733
NSE:BAJAJFINSV-EQ,2025-01-23,1746.15,0.64,0.0960112246943274,0.0,26.492030810409553
NSE:GOLDIETF-EQ,2025-01-23,69.49,0.63,0.1080731040437473,1.0,29.46317991655685
NSE:SILVERBEES-EQ,2025-01-24,88.67,0.61,0.0696966279463177,1.0,31.586360833262844
NSE:NH-EQ,2025-01-24,1305.35,0.62,0.0877542421572759,0.0,34.445952232849365
NSE:BAJAJFINSV-EQ,2025-01-27,1711.6,0.65,0.1181350782893199,0.0,38.633362574916525
NSE:SILVERBEES-EQ,2025-01-27,87.59,0.69,0.0828861742208013,1.0,41.918420370257245
NSE:GOLDIETF-EQ,2025-01-27,69.82,0.69,0.1028358636493842,1.0,46.33197319549998
NSE:HDFCSILVER-EQ,2025-01-27,87.67,0.72,0.0838371164594501,1.0,50.300149344546675
NSE:AEGISLOG-EQ,2025-01-27,651.1,0.62,0.3004914759637536,0.0,65.7154069382505
